,Av,Rt,Th,Cost
2015-12-05,0.41901010880613326,0.5472837524241281,0.5558694412187748,0.3077123527542348
2015-12-06,0.34082909145610096,0.7515145072716363,0.5130091148901395,0.3943202389305924
2015-12-07,0.3895611277715587,0.5904989185080423,0.48628336070871625,0.0955999920197585
2015-12-08,0.37923513278632137,0.6843497652074636,0.48835839943179643,0.20109933407343078
2015-12-09,0.35170171620649154,0.6110491469411954,0.4490377025619261,0.1722966666013036
2015-12-10,0.30326619386477094,0.7479286352044193,0.44829256117215516,0.18923521249555886
2015-12-11,0.3073956730544066,0.7021236225695813,0.48415043189715545,0.06285827684736006
2015-12-12,0.3229111154885672,0.699352995740167,0.428021402642436,0.10478021472324028
2015-12-13,0.3657034539260803,0.6939780173147768,0.38809250202564105,0.0627504767772511
2015-12-14,0.3802754509113604,0.5381302233987424,0.39200580457223777,0.10131559332557388
2015-12-15,0.5157716500258851,0.598880342119571,0.3752792243055879,0.16550379003018145
2015-12-16,0.41878404061024405,0.6609615835008674,0.3478552901362869,0.13119294849585295
2015-12-17,0.4113105362360858,0.5614034807883445,0.43471848114438144,0.15325064614638262
2015-12-18,0.39905998783354024,0.5146839289145418,0.4139314123187299,0.21697872585921224
2015-12-19,0.4044902893427793,0.6516327568829912,0.362640767924802,0.19328676691587654
2015-12-20,0.4239118121087396,0.6171809821325325,0.3162087506731434,0.2970035152610737
2015-12-21,0.44923941108679083,0.7251667906650576,0.34134918343186976,0.4089699937098319
2015-12-22,0.4868354430416018,0.6742399469248974,0.2648102436870021,0.3757932480436249
2015-12-23,0.5024168727947441,0.6669679201364239,0.29414250983205503,0.36777499738707864
2015-12-24,0.520186479004901,0.6710568150766635,0.22311041948126853,0.44322738277923723
2015-12-25,0.4198494953008143,0.6971963649467978,0.24144125426906188,0.42526926758558437
2015-12-26,0.4267727898124455,0.7499880588472604,0.25857862354963906,0.46788403786993454
2015-12-27,0.44012859866242676,0.6659915605671884,0.24432043186867491,0.40935384555268184
2015-12-28,0.5291831229915791,0.6310254214080858,0.22749347906929523,0.4485287628320066
2015-12-29,0.4842924140136291,0.5495570277009754,0.17192333171999952,0.6206960810511788
2015-12-30,0.3934213590945538,0.6509100332202118,0.22181476564547892,0.589224305315801
2015-12-31,0.3851419192940668,0.5691407605406655,0.16806783584725093,0.4987324275292398
2016-01-01,0.3930662210879351,0.6628938801505775,0.16038703380235053,0.5035357703074964
2016-01-02,0.41073760567596196,0.739026593597882,0.18750541785698538,0.4982945252910043
2016-01-03,0.37060650718562227,0.5845195637873396,0.19935133007189704,0.46217279748510204
2016-01-04,0.3342981864305016,0.5502766705735506,0.16825725059161944,0.5013963070873321
